2026-01-02 02:32:32 - Reservation RSV-72973B created by ao311 order=1111 sku=SKU001 qty=2
2026-01-02 02:51:55 - USER=ao311 ACTION=LOGIN SUCCESS
2026-01-02 03:19:39 - USER=anettaxo ACTION=LOGIN SUCCESS
2026-01-02 03:24:28 - USER=ao311 ACTION=LOGIN SUCCESS
2026-01-02 03:24:52 - Reservation RSV-0E629D cancelled by ao311
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:28:06 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:32:23 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:32:49 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:36:41 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:41:37 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:41:44 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=99
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=98
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=97
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=94
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=92
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=89
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=86
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=81
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=79
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=74
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=73
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=68
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=66
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=62
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=58
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=53
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=50
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=45
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=41
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=36
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=3 new_qty=53
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=63
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=65
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=70
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=72
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=80
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=88
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=96
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=103
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=107
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=109
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=117
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=118
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=125
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=7 new_qty=132
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=142
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=143
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=8 new_qty=151
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=156
2026-01-05 07:46:02 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=4 new_qty=160
2026-01-05 08:42:52 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=9
2026-01-05 08:42:52 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=2 new_qty=8
2026-01-05 08:42:52 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=15
2026-01-05 08:55:28 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=11
2026-01-05 08:55:28 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=16
2026-01-05 08:55:28 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=10 new_qty=26
2026-01-05 08:57:30 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=1 new_qty=11
2026-01-05 08:57:30 - USER=None ACTION=STOCK_DECREASE sku=SKU1 amount=5 new_qty=16
